name,category,address,maps_url
ZUS Coffee – Kuala Kubu Baru,Kuala Lumpur/Selangor,"No.18(GF), Jalan Mat Kilau, Pekan Kuala Kubu Bharu, 44000 Kuala Kubu Baru, Selangor",https://maps.app.goo.gl/vfdaNXFcxBcmHrq16
"ZUS Coffee – Menara Axis, Petaling Jaya",Kuala Lumpur/Selangor,"Grd-05, Ground Floor, Menara Axis, No 2, Jalan 51A/ 223,46100 Petaling Jaya, Selangor",https://maps.app.goo.gl/GLtte1nwwryXQqKC8
ZUS Coffee – Central I-City,Kuala Lumpur/Selangor,"Lot L1-10A, Level One, Central I-City, No. 1, Persiaran Multimedia, Seksyen 7, Jalan Plumbum 7/102, I-City, 40000 Shah Alam, Selangor",https://maps.app.goo.gl/St1WubMeyce9k1Eh9
ZUS Coffee – Taman Sri Muda,Kuala Lumpur/Selangor,"No.16-G (Ground Floor), Jalan Murni 25/61, Taman Sri Muda, 40400 Shah Alam, Selangor",https://maps.app.goo.gl/KJqteAwTt7SUEaik9
"ZUS Coffee – Alam Avenue 2, Shah Alam Seksyen 16",Kuala Lumpur/Selangor,"C-15-G, Jalan Serai Wangi L 16/L, Seksyen 16, Alam Avenue 2, 40200 Shah Alam, Selangor",https://maps.app.goo.gl/VweJD4e4SZETjWmD7
ZUS Coffee – Kuchai Entrepreneurs Park,Kuala Lumpur/Selangor,"No. 29 (Ground Floor), Jalan 1/116 B, Off, Jalan Kuchai Lama, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur.",https://maps.app.goo.gl/1DQNDZUjKwhAr89X7
"ZUS Coffee – Jalil Link 1, Bukit Jalil",Kuala Lumpur/Selangor,"No.20(GF), Jalan Jalil Jaya 2, Jalil Link, Bukit Jalil 57000 WP Kuala Lumpur",https://maps.app.goo.gl/GgafJATLe1djdh5z5
ZUS Coffee – Menara Technip Energies,Kuala Lumpur/Selangor,"Menara Technip Energies, 38, Jalan Inai, Imbi, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur",https://maps.app.goo.gl/2qhwJWG5A8jf4poW7
"ZUS Coffee – Jakel Mall, Kuala Lumpur",Kuala Lumpur/Selangor,"Lot SC.02 & SC.03, Jakel Mall, Lot 159, Jakel Square Off, Jalan Munshi Abdullah, City Centre, 50100 Kuala Lumpur",https://maps.app.goo.gl/SinZDdy8GsWQohhr6
"ZUS Coffee – Anggun City, Rawang",Kuala Lumpur/Selangor,"Lot 40-1, Pusat Komersial Anggun City, 1, Jalan Anggun City 1, Taman Anggun, 48000 Rawang, Selangor",https://maps.app.goo.gl/pNRC9HwFT298kdUaA
"ZUS Coffee – Olive Business Park, Seri Kembangan",Kuala Lumpur/Selangor,"No 36 (LG), Jalan BS 1/3, Pusat Perdagangan Olive Hill, Taman Bukit Serdang Seksyen 1, 43300 Seri Kembangan, Selangor.",https://maps.app.goo.gl/ecQ6XHq5W4oN447aA
ZUS Coffee – Bukit Tinggi 1,Kuala Lumpur/Selangor,"No.26-G, Lorong Batu Nilam 3a, Bandar Bukit Tinggi 41200 Klang",https://maps.app.goo.gl/zM1roarwqnoHVk7YA
ZUS Coffee – CALTEX Eco Ardence,Kuala Lumpur/Selangor,"No. 2, Jalan Eco Ardence U12/36, Seksyen U12 40170, Shah Alam, Selangor",https://maps.app.goo.gl/kZxYiKdfidnaDftEA
"ZUS Coffee – Jalan Seri Mas 1, Hulu Langat",Kuala Lumpur/Selangor,"No.33 (Ground Floor), Jalan Seri Mas 1, Taman Seri Emas, 43100 Hulu Langat, Selangor.",https://maps.app.goo.gl/zGHiZHjhXuJDtNvo6
ZUS Coffee – Pekan Semenyih,Kuala Lumpur/Selangor,"No.40 (Ground Floor), Jalan Pasar Baru, Pekan Semenyih, 43500 Semenyih, Selangor.",https://maps.app.goo.gl/mT7LLGgzhHkHxAUbA
ZUS Coffee – Solaris Mont Kiara,Kuala Lumpur/Selangor,"Lot K-OG-14, Soho KL Mont Kiara, No. 2, Jalan Solaris, Solaris Mont Kiara, 50480, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/Nc3SFsKZyhSSgaaF8
"ZUS Coffee – Cyberview 23A, Cyberjaya",Kuala Lumpur/Selangor,"Cyberview 23A, Persiaran APEC Cyber 6, 63000 Cyberjaya Selangor",https://maps.app.goo.gl/65eKzyJ3AYr7Ufc26
ZUS Coffee – Monash University Malaysia,Kuala Lumpur/Selangor,"3124C, Lepak Place, Monash University Malaysia, Jalan Lagoon Selatan, 47500 Bandar Sunway, Selangor Darul Ehsan",https://maps.app.goo.gl/yiZH7dYYP8vJFZsi7
ZUS Coffee – Semua House,Kuala Lumpur/Selangor,"GF.04, Ground Floor, Semua House, Jalan Bunus 6, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/cyFk3f3wuVoRiVCi8
ZUS Coffee – Southville City,Kuala Lumpur/Selangor,"A�G�09 (Ground Floor), Savanna Lifestyle Retail Jalan BBLS 2, Bandar Baru Lembah Selatan, 43800 Dengkil, Selangor",https://maps.app.goo.gl/D4ZHpH55QcfbryDy5
ZUS Coffee – Sekinchan,Kuala Lumpur/Selangor,"No.15 (Ground Floor), Jalan Peria, Pekan Sekinchan, 45400 Sekinchan, Selangor",https://maps.app.goo.gl/wFX1izTnAqp11QqQ7
